OBJECTID,Borough,Type,Provider,Latitude,Longitude,Location_T,City,BoroCode,NTACode
238,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn,3,BK38
239,QU,Free,LinkNYC - Citybridge,40.705971,-73.793787,Outdoor Kiosk,Queens,4,QN61
240,QU,Free,LinkNYC - Citybridge,40.706357,-73.792205,Outdoor Kiosk,Queens,4,QN61
241,QU,Free,LinkNYC - Citybridge,40.702734,-73.802019,Outdoor Kiosk,Queens,4,QN61
242,QU,Free,LinkNYC - Citybridge,40.703769,-73.799343,Outdoor Kiosk,Queens,4,QN61
243,SI,Free,LinkNYC - Citybridge,40.570312,-74.109657,Outdoor Kiosk,Staten Island,5,SI45
244,SI,Free,LinkNYC - Citybridge,40.577771,-74.10231,Outdoor Kiosk,Staten Island,5,SI45
245,SI,Free,LinkNYC - Citybridge,40.570635,-74.109918,Outdoor Kiosk,Staten Island,5,SI45
246,SI,Free,LinkNYC - Citybridge,40.572853,-74.114087,Outdoor Kiosk,Staten Island,5,SI45
247,MN,Free,NYPL,40.79591999,-73.96784852,Library,New York,1,MN12
248,BX,Free,NYPL,40.8476919,-73.78636659,Library,Bronx,2,BX10
249,BK,Free,BPL,40.64220845,-73.89952442,Library,Brooklyn,3,BK50
250,BK,Free,BPL,40.58699996,-73.95542836,Library,Brooklyn,3,BK17
251,BX,Free,NYPL,40.90043991,-73.867942,Library,Bronx,2,BX62
252,BK,Free,BPL,40.67525519,-74.01035129,Library,Brooklyn,3,BK33
253,BK,Free,BPL,40.67537085,-73.94856614,Library,Brooklyn,3,BK61
254,QU,Free,QPL,40.74515052,-73.71483776,Library,Glen Oaks,4,QN44
255,BX,Free,NYPL,40.87437981,-73.87838435,Library,Bronx,2,BX43
256,QU,Free,QPL,40.59314678,-73.78404003,Library,Arverne,4,QN12
257,MN,Free,NYPL,40.83451521,-73.93967458,Library,New York,1,MN36
258,BK,Free,BPL,40.59135705,-73.92396467,Library,Brooklyn,3,BK17
259,BK,Free,BPL,40.72605066,-73.95069029,Library,Brooklyn,3,BK76
260,BX,Free,NYPL,40.84467409,-73.88304469,Library,Bronx,2,BX17
261,BX,Free,NYPL,40.81159621,-73.92436634,Library,Bronx,2,BX39
262,QU,Free,QPL,40.70701056,-73.75379667,Library,South Hollis,4,QN07
263,MN,Free,NYPL,40.77065254,-73.95134169,Library,New York,1,MN31
264,QU,Free,QPL,40.69454658,-73.86144646,Library,Woodhaven,4,QN53
265,MN,Free,NYPL,40.76218602,-73.9693817,Library,New York,1,MN19
266,MN,Free,NYPL,40.72730731,-73.98040767,Library,New York,1,MN22
267,QU,Free,QPL,40.77238289,-73.92871881,Library,Long Island City,4,QN71
268,BK,Free,BPL,40.68481005,-73.91513242,Library,Brooklyn,3,BK79
269,BX,Free,NYPL,40.87050192,-73.82865793,Library,Bronx,2,BX13
270,SI,Free,NYPL,40.50953112,-74.24410671,Library,Staten Island,5,SI11
271,MN,Free,NYPL,40.82567237,-73.94803242,Library,New York,1,MN04
272,BX,Free,NYPL,40.88032228,-73.90798337,Library,Bronx,2,BX29
273,QU,Free,QPL,40.71988555,-73.73904382,Library,Queens Village,4,QN34
274,MN,Free,NYPL,40.80297988,-73.95353074,Library,New York,1,MN11
275,BX,Free,NYPL,40.8337363,-73.85835522,Library,Bronx,2,BX46
276,QU,Free,QPL,40.72591849,-73.82071907,Library,Flushing,4,QN37
277,MN,Free,NYPL,40.7859598,-73.95180567,Library,New York,1,MN40
278,MN,Free,NYPL,40.76493462,-73.99122082,Library,New York,1,MN15
279,SI,Free,NYPL,40.62623761,-74.07784609,Library,Staten Island,5,SI37
280,QU,Free,QPL,40.76822543,-73.73822944,Library,Little Neck,4,QN45
281,MN,Free,NYPL,40.75189156,-73.98169851,Library,New York,1,MN20
282,SI,Free,NYPL,40.63758562,-74.13110462,Library,Staten Island,5,SI28
283,BK,Free,BPL,40.67270609,-73.87403349,Library,Brooklyn,3,BK82
284,QU,Free,QPL,40.7552002,-73.94422389,Library,Long Island City,4,QN68
285,BK,Free,BPL,40.69748225,-73.91221062,Library,Brooklyn,3,BK77
286,SI,Free,NYPL,40.59581815,-74.06298047,Library,Staten Island,5,SI14
287,BK,Free,BPL,40.59523686,-73.96059937,Library,Brooklyn,3,BK25
288,BK,Free,BPL,40.6292121,-74.01186967,Library,Brooklyn,3,BK30
289,QU,Free,QPL,40.74706242,-73.94424368,Library,Long Island City,4,QN31
290,BK,Free,BPL,40.63574128,-73.94762003,Library,Brooklyn,3,BK42
291,QU,Free,QPL,40.78624914,-73.84601328,Library,College Point,4,QN23
292,QU,Free,QPL,40.72214695,-73.843015,Library,Forest Hills,4,QN17
293,SI,Free,NYPL,40.64178537,-74.07664577,Library,Staten Island,5,SI22
294,BX,Free,NYPL,40.84429267,-73.82788991,Library,Bronx,2,BX52
295,BX,Free,NYPL,40.88275976,-73.89392241,Library,Bronx,2,BX28
296,BX,Free,NYPL,40.82659193,-73.91758265,Library,Bronx,2,BX14
297,QU,Free,QPL,40.76375032,-73.80983348,Library,Flushing,4,QN51
298,BK,Free,BPL,40.6948167,-73.92839867,Library,Brooklyn,3,BK78
299,BK,Free,BPL,40.59486152,-73.94112492,Library,Brooklyn,3,BK17
300,QU,Free,QPL,40.65996362,-73.73991101,Library,Rosedale,4,QN05
301,BK,Free,BPL,40.66515937,-73.88607054,Library,Brooklyn,3,BK82
302,BX,Free,NYPL,40.83126372,-73.90178898,Library,Bronx,2,BX35
303,QU,Free,QPL,40.73743414,-73.86165593,Library,Corona,4,QN25
304,BK,Free,BPL,40.60800935,-74.00337655,Library,Brooklyn,3,BK27
305,BX,Free,NYPL,40.81870935,-73.86288996,Library,Bronx,2,BX09
306,BX,Free,NYPL,40.85487778,-73.86414358,Library,Bronx,2,BX49
307,BK,Free,BPL,40.64863671,-73.93037392,Library,Brooklyn,3,BK91
308,QU,Free,QPL,40.75019609,-73.88506932,Library,Jackson Heights,4,QN28
309,MN,Free,NYPL,40.74451005,-73.99595972,Library,New York,1,MN13
310,QU,Free,QPL,40.72731656,-73.86450283,Library,Rego Park,4,QN18
311,BK,Free,BPL,40.61630814,-74.01198852,Library,Brooklyn,3,BK30
312,BK,Free,BPL,40.68321352,-73.99801906,Library,Brooklyn,3,BK33
313,QU,Free,QPL,40.77375211,-73.79634319,Library,Flushing,4,QN47
314,QU,Free,QPL,40.7577119,-73.8682003,Library,Corona,4,QN27
315,QU,Free,QPL,40.78853144,-73.81071656,Library,Whitestone,4,QN49
316,BK,Free,BPL,40.65326407,-73.88590905,Library,Brooklyn,3,BK82
317,QU,Free,QPL,40.71003456,-73.81945312,Library,Briarwood,4,QN35
318,BX,Free,NYPL,40.84604232,-73.89834026,Library,Bronx,2,BX01
319,MN,Free,NYPL,40.7289209,-73.98778373,Library,New York,1,MN22
320,MN,Free,NYPL,40.84787004,-73.93386591,Library,New York,1,MN36
321,BK,Free,BPL,40.64871697,-73.97675728,Library,Brooklyn,3,BK40
322,BK,Free,BPL,40.6944897,-73.97773263,Library,Brooklyn,3,BK68
323,BK,Free,BPL,40.62589331,-73.96031449,Library,Brooklyn,3,BK43
324,MN,Free,NYPL,40.77350699,-73.98454685,Library,New York,1,MN14
325,BK,Free,BPL,40.68068711,-73.88723951,Library,Brooklyn,3,BK83
326,QU,Free,QPL,40.69477729,-73.73964257,Library,Cambria Heights,4,QN33
327,BK,Free,BPL,40.59054439,-73.97180845,Library,Brooklyn,3,BK26
